cnes;municipality_code;uf;health_region_code;health_region_id;source_file
2001705;120040;AC;;;STAC2101.dbf
2001713;120040;AC;0001;AC-0001;STAC2101.dbf
2001810;120040;AC;0001;AC-0001;STAC2101.dbf
2001829;120040;AC;0001;AC-0001;STAC2101.dbf
2001837;120040;AC;0001;AC-0001;STAC2101.dbf
2001845;120040;AC;0001;AC-0001;STAC2101.dbf
2001853;120040;AC;0001;AC-0001;STAC2101.dbf
2001942;120040;AC;0001;AC-0001;STAC2101.dbf
2001977;120040;AC;0001;AC-0001;STAC2101.dbf
2001993;120040;AC;;;STAC2101.dbf
2002019;120040;AC;0001;AC-0001;STAC2101.dbf
2002027;120040;AC;;;STAC2101.dbf
2002035;120040;AC;;;STAC2101.dbf
2002051;120040;AC;0001;AC-0001;STAC2101.dbf
2002078;120040;AC;0001;AC-0001;STAC2101.dbf
2002094;120040;AC;0001;AC-0001;STAC2101.dbf
2002701;120040;AC;0001;AC-0001;STAC2101.dbf
2002779;120040;AC;0001;AC-0001;STAC2101.dbf
2002809;120040;AC;;;STAC2101.dbf
2002817;120040;AC;0001;AC-0001;STAC2101.dbf
2002833;120040;AC;0001;AC-0001;STAC2101.dbf
2003015;120040;AC;0001;AC-0001;STAC2101.dbf
2003031;120040;AC;0001;AC-0001;STAC2101.dbf
2003058;120040;AC;0001;AC-0001;STAC2101.dbf
2003171;120040;AC;0001;AC-0001;STAC2101.dbf
2003198;120040;AC;0001;AC-0001;STAC2101.dbf
2003228;120040;AC;0001;AC-0001;STAC2101.dbf
2003252;120040;AC;0001;AC-0001;STAC2101.dbf
2003279;120040;AC;0001;AC-0001;STAC2101.dbf
2003287;120040;AC;0001;AC-0001;STAC2101.dbf
2306352;120040;AC;;;STAC2101.dbf
2306379;120040;AC;0001;AC-0001;STAC2101.dbf
2306387;120040;AC;;;STAC2101.dbf
3015513;120040;AC;0001;AC-0001;STAC2101.dbf
3015548;120040;AC;0001;AC-0001;STAC2101.dbf
3015556;120040;AC;0001;AC-0001;STAC2101.dbf
3042499;120040;AC;;;STAC2101.dbf
3046362;120040;AC;0001;AC-0001;STAC2101.dbf
3054926;120040;AC;0001;AC-0001;STAC2101.dbf
3062260;120040;AC;;;STAC2101.dbf
3062333;120040;AC;;;STAC2101.dbf
3062422;120040;AC;;;STAC2101.dbf
3066711;120040;AC;;;STAC2101.dbf
3067459;120040;AC;;;STAC2101.dbf
3097439;120040;AC;;;STAC2101.dbf
3122883;120040;AC;;;STAC2101.dbf
3128903;120040;AC;;;STAC2101.dbf
3152340;120040;AC;;;STAC2101.dbf
3152359;120040;AC;;;STAC2101.dbf
3152375;120040;AC;;;STAC2101.dbf
3283836;120040;AC;;;STAC2101.dbf
3293386;120040;AC;;;STAC2101.dbf
3312615;120040;AC;;;STAC2101.dbf
3315630;120040;AC;;;STAC2101.dbf
3315665;120040;AC;0001;AC-0001;STAC2101.dbf
3321061;120040;AC;;;STAC2101.dbf
3331776;120040;AC;0001;AC-0001;STAC2101.dbf
3331792;120040;AC;0001;AC-0001;STAC2101.dbf
3331806;120040;AC;0001;AC-0001;STAC2101.dbf
3331881;120040;AC;0001;AC-0001;STAC2101.dbf
3331911;120040;AC;0001;AC-0001;STAC2101.dbf
3331946;120040;AC;0001;AC-0001;STAC2101.dbf
3344797;120040;AC;0001;AC-0001;STAC2101.dbf
3388530;120040;AC;;;STAC2101.dbf
3425916;120040;AC;;;STAC2101.dbf
3430227;120040;AC;;;STAC2101.dbf
3449300;120040;AC;0001;AC-0001;STAC2101.dbf
3539849;120040;AC;0001;AC-0001;STAC2101.dbf
3542734;120040;AC;0001;AC-0001;STAC2101.dbf
3556271;120040;AC;0001;AC-0001;STAC2101.dbf
3567923;120040;AC;0001;AC-0001;STAC2101.dbf
3642445;120040;AC;0001;AC-0001;STAC2101.dbf
3642453;120040;AC;0001;AC-0001;STAC2101.dbf
3690296;120040;AC;;;STAC2101.dbf
3704017;120040;AC;;;STAC2101.dbf
3708403;120040;AC;0001;AC-0001;STAC2101.dbf
3752259;120040;AC;0001;AC-0001;STAC2101.dbf
3775224;120040;AC;;;STAC2101.dbf
3820793;120040;AC;0001;AC-0001;STAC2101.dbf
3929442;120040;AC;;;STAC2101.dbf
3929450;120040;AC;;;STAC2101.dbf
3929515;120040;AC;;;STAC2101.dbf
3929531;120040;AC;;;STAC2101.dbf
3929558;120040;AC;;;STAC2101.dbf
3939286;120040;AC;;;STAC2101.dbf
3939561;120040;AC;;;STAC2101.dbf
3944085;120040;AC;;;STAC2101.dbf
5006813;120040;AC;;;STAC2101.dbf
5020751;120040;AC;;;STAC2101.dbf
5036275;120040;AC;0001;AC-0001;STAC2101.dbf
5045908;120040;AC;;;STAC2101.dbf
5046017;120040;AC;;;STAC2101.dbf
5057558;120040;AC;;;STAC2101.dbf
5063833;120040;AC;;;STAC2101.dbf
5112362;120040;AC;;;STAC2101.dbf
5149487;120040;AC;;;STAC2101.dbf
5184029;120040;AC;;;STAC2101.dbf
5192749;120040;AC;;;STAC2101.dbf
5193621;120040;AC;;;STAC2101.dbf
5195152;120040;AC;;;STAC2101.dbf
5199069;120040;AC;;;STAC2101.dbf
5202817;120040;AC;;;STAC2101.dbf
5210356;120040;AC;;;STAC2101.dbf
5215587;120040;AC;;;STAC2101.dbf
5218543;120040;AC;;;STAC2101.dbf
5223202;120040;AC;;;STAC2101.dbf
5231418;120040;AC;0001;AC-0001;STAC2101.dbf
5232996;120040;AC;;;STAC2101.dbf
5233127;120040;AC;;;STAC2101.dbf
5233550;120040;AC;0001;AC-0001;STAC2101.dbf
5235634;120040;AC;0001;AC-0001;STAC2101.dbf
5269768;120040;AC;;;STAC2101.dbf
5288495;120040;AC;;;STAC2101.dbf
5330351;120040;AC;;;STAC2101.dbf
5386284;120040;AC;;;STAC2101.dbf
5400651;120040;AC;;;STAC2101.dbf
5407893;120040;AC;;;STAC2101.dbf
5413265;120040;AC;;;STAC2101.dbf
5421721;120040;AC;0001;AC-0001;STAC2101.dbf
5430992;120040;AC;;;STAC2101.dbf
5442087;120040;AC;;;STAC2101.dbf
5450349;120040;AC;;;STAC2101.dbf
5453739;120040;AC;;;STAC2101.dbf
5453747;120040;AC;;;STAC2101.dbf
5459753;120040;AC;;;STAC2101.dbf
5460751;120040;AC;;;STAC2101.dbf
5472245;120040;AC;;;STAC2101.dbf
5472830;120040;AC;;;STAC2101.dbf
5503973;120040;AC;0001;AC-0001;STAC2101.dbf
5514290;120040;AC;0001;AC-0001;STAC2101.dbf
5523141;120040;AC;;;STAC2101.dbf
5523168;120040;AC;;;STAC2101.dbf
5527368;120040;AC;;;STAC2101.dbf
5545137;120040;AC;0001;AC-0001;STAC2101.dbf
5547946;120040;AC;0001;AC-0001;STAC2101.dbf
5591228;120040;AC;0001;AC-0001;STAC2101.dbf
5602122;120040;AC;;;STAC2101.dbf
5602246;120040;AC;;;STAC2101.dbf
5603641;120040;AC;;;STAC2101.dbf
5607329;120040;AC;;;STAC2101.dbf
5625645;120040;AC;0001;AC-0001;STAC2101.dbf
5628539;120040;AC;;;STAC2101.dbf
5630061;120040;AC;;;STAC2101.dbf
5654289;120040;AC;;;STAC2101.dbf
5677181;120040;AC;0001;AC-0001;STAC2101.dbf
5679052;120040;AC;;;STAC2101.dbf
5707439;120040;AC;0001;AC-0001;STAC2101.dbf
5775388;120040;AC;;;STAC2101.dbf
5786592;120040;AC;0001;AC-0001;STAC2101.dbf
5841275;120040;AC;;;STAC2101.dbf
5851548;120040;AC;;;STAC2101.dbf
5876702;120040;AC;;;STAC2101.dbf
5893372;120040;AC;;;STAC2101.dbf
5918014;120040;AC;;;STAC2101.dbf
5930472;120040;AC;6990;AC-6990;STAC2101.dbf
5985536;120040;AC;;;STAC2101.dbf
6005624;120040;AC;;;STAC2101.dbf
6021816;120040;AC;;;STAC2101.dbf
6057837;120040;AC;;;STAC2101.dbf
6057853;120040;AC;;;STAC2101.dbf
6057896;120040;AC;;;STAC2101.dbf
6064124;120040;AC;;;STAC2101.dbf
6064159;120040;AC;;;STAC2101.dbf
6076017;120040;AC;;;STAC2101.dbf
6079156;120040;AC;;;STAC2101.dbf
6079172;120040;AC;;;STAC2101.dbf
6079245;120040;AC;;;STAC2101.dbf
6091741;120040;AC;;;STAC2101.dbf
6091776;120040;AC;;;STAC2101.dbf
6091822;120040;AC;;;STAC2101.dbf
6099238;120040;AC;;;STAC2101.dbf
6118321;120040;AC;;;STAC2101.dbf
6119697;120040;AC;0001;AC-0001;STAC2101.dbf
6132758;120040;AC;;;STAC2101.dbf
6132782;120040;AC;;;STAC2101.dbf
6154786;120040;AC;;;STAC2101.dbf
6200001;120040;AC;;;STAC2101.dbf
6204996;120040;AC;0001;AC-0001;STAC2101.dbf
6212948;120040;AC;0001;AC-0001;STAC2101.dbf
6213049;120040;AC;;;STAC2101.dbf
6214010;120040;AC;;;STAC2101.dbf
6225012;120040;AC;;;STAC2101.dbf
6226906;120040;AC;0001;AC-0001;STAC2101.dbf
6230237;120040;AC;;;STAC2101.dbf
6230466;120040;AC;;;STAC2101.dbf
6274706;120040;AC;;;STAC2101.dbf
6291805;120040;AC;;;STAC2101.dbf
6305261;120040;AC;;;STAC2101.dbf
6368352;120040;AC;;;STAC2101.dbf
6378986;120040;AC;;;STAC2101.dbf
6382223;120040;AC;;;STAC2101.dbf
6384765;120040;AC;;;STAC2101.dbf
