distance_min_km,source_node_id,source_name,source_municipality_code,source_health_region_id,total_flow,target_facilities,top_target_node_id,top_target_name,top_target_flow,top_target_share,cross_health_region_flow,cross_health_region_share,cross_uf_flow,cross_uf_share,weighted_mean_distance_km,max_edge_distance_km
25.0,municipality:251570,Serra Grande - PB,251570,PB-0007,140.0,10,facility:2341204,HOSPITAL DISTRITAL DE ITAPORANGA DR JOSE GOMES DA SILVA,69.0,0.492857,59.0,0.421429,19.0,0.135714,91.284164,395.436208
25.0,municipality:291290,Ibirataia - BA,291290,BA-0013,337.0,17,facility:2400693,HOSPITAL GERAL PRADO VALADARES,135.0,0.400593,142.0,0.421365,0.0,0.0,119.469317,339.538842
25.0,municipality:410450,Capanema - PR,410450,PR-0008,788.0,17,facility:6424341,HOSPITAL REGIONAL DO SUDOESTE WALTER ALBERTO PECOITS F B,315.0,0.399746,332.0,0.42132,0.0,0.0,115.862135,471.361034
25.0,municipality:291450,Irará - BA,291450,BA-0002,632.0,26,facility:2799278,HOSPITAL INACIA PINTO DOS SANTOS,110.0,0.174051,266.0,0.420886,0.0,0.0,63.187228,111.490072
25.0,municipality:320350,Montanha - ES,320350,ES-0004,1100.0,16,facility:2550687,HOSPITAL DR ROBERTO ARNIZAUT SILVARES,638.0,0.58,462.0,0.42,0.0,0.0,127.569526,245.560604
25.0,municipality:260080,Altinho - PE,260080,PE-0004,701.0,18,facility:7498810,HOSPITAL MESTRE VITALINO,211.0,0.300999,294.0,0.419401,0.0,0.0,73.553572,143.818223
25.0,municipality:311260,Capinópolis - MG,311260,MG-0026,396.0,3,facility:2200902,HOSPITAL SAO JOSE,230.0,0.580808,166.0,0.419192,8.0,0.020202,80.145292,232.991383
25.0,municipality:320305,Jaguaré - ES,320305,ES-0004,1752.0,20,facility:2550687,HOSPITAL DR ROBERTO ARNIZAUT SILVARES,939.0,0.535959,734.0,0.41895,0.0,0.0,61.215473,240.588169
25.0,municipality:410715,Diamante D'Oeste - PR,410715,PR-0020,172.0,7,facility:4056752,HOESP,84.0,0.488372,72.0,0.418605,0.0,0.0,68.439537,488.41199
25.0,municipality:412627,Saudade do Iguaçu - PR,412627,PR-0007,153.0,7,facility:0017868,HOSPITAL FILANTROPICO POLICLINICA,51.0,0.333333,64.0,0.418301,0.0,0.0,105.228373,335.159556
25.0,municipality:280300,Itabaianinha - SE,280300,SE-0001,1609.0,16,facility:2423529,HOSPITAL AMPARO DE MARIA,476.0,0.295836,673.0,0.418272,12.0,0.007458,72.635643,1633.682964
25.0,municipality:352840,Mairinque - SP,352840,SP-0216,201.0,9,facility:2092298,SANTA CASA DE ITU,117.0,0.58209,84.0,0.41791,0.0,0.0,42.102032,191.250223
25.0,municipality:330490,São Gonçalo - RJ,330490,RJ-0033,3898.0,43,facility:2291525,H OLHOS SAO GONCALO,1263.0,0.324012,1628.0,0.41765,6.0,0.001539,54.195507,416.769933
25.0,municipality:313120,Ipanema - MG,313120,MG-0024,606.0,15,facility:2173166,HOSPITAL CESAR LEITE,248.0,0.409241,253.0,0.417492,0.0,0.0,93.540701,236.455713
25.0,municipality:520425,Cachoeira Dourada - GO,520425,GO-0006,254.0,13,facility:2589265,HOSPITAL ESTADUAL DE ITUMBIARA SAO MARCOS,76.0,0.299213,106.0,0.417323,10.0,0.03937,110.515288,254.575201
25.0,municipality:430970,Humaitá - RS,430970,RS-0017,132.0,4,facility:2261057,HOSPITAL DE CLINICAS IJUI,59.0,0.44697,55.0,0.416667,0.0,0.0,62.222767,91.398555
25.0,municipality:354640,Santa Cruz do Rio Pardo - SP,354640,SP-0209,452.0,9,facility:4049020,SANTA CASA DE OURINHOS,169.0,0.373894,188.0,0.415929,0.0,0.0,80.627268,316.577541
25.0,municipality:430340,Caiçara - RS,430340,RS-0019,178.0,5,facility:5384117,HOSPITAL SANTO ANTONIO TENENTE PORTELA,92.0,0.516854,74.0,0.41573,5.0,0.02809,154.22554,2978.187988
25.0,municipality:261160,Recife - PE,261160,PE-0001,744.0,27,facility:6559379,HOSPITAL DOM HELDER CAMARA,355.0,0.477151,309.0,0.415323,77.0,0.103495,155.437973,2460.5238
25.0,municipality:230050,Alcântaras - CE,230050,CE-0011,53.0,5,facility:2425300,HOSPITAL DO CORACAO,20.0,0.377358,22.0,0.415094,0.0,0.0,81.616079,223.768557
25.0,municipality:210409,Formosa da Serra Negra - MA,210409,MA-0012,533.0,13,facility:9336508,HOSPITAL REGIONAL DE BALSAS,271.0,0.508443,221.0,0.414634,0.0,0.0,116.404895,490.643231
25.0,municipality:500755,Santa Rita do Pardo - MS,500755,MS-0007,111.0,5,facility:2756951,HOSPITAL NOSSA SENHORA AUXILIADORA,56.0,0.504505,46.0,0.414414,0.0,0.0,156.081299,214.805871
25.0,municipality:410950,Guaraqueçaba - PR,410950,PR-0001,273.0,7,facility:2687127,HOSPITAL REGIONAL DO LITORAL,160.0,0.586081,113.0,0.413919,0.0,0.0,56.979116,119.523798
25.0,municipality:420419,Chapadão do Lageado - SC,420419,SC-0004,29.0,2,facility:2568713,HOSPITAL REGIONAL ALTO VALE,17.0,0.586207,12.0,0.413793,0.0,0.0,48.232975,58.045631
25.0,municipality:260515,Dormentes - PE,260515,PE-0008,423.0,12,facility:2430711,HOSPITAL DOM MALAN,116.0,0.274232,175.0,0.413712,125.0,0.295508,158.382059,634.374079
25.0,municipality:210980,Santa Helena - MA,210980,MA-0006,614.0,15,facility:7826060,HOSPITAL MACRORREGIONAL DA BAIXADA DR JACKSON LAGO,208.0,0.338762,254.0,0.413681,0.0,0.0,67.356699,128.478059
25.0,municipality:313000,Ibituruna - MG,313000,MG-0020,46.0,4,facility:2161354,SANTA CASA DA MISERICORDIA DE SAO JOAO DEL REI,27.0,0.586957,19.0,0.413043,0.0,0.0,52.535539,60.117124
25.0,municipality:431650,Salvador do Sul - RS,431650,RS-0002,272.0,11,facility:2257556,HM REGIONAL,160.0,0.588235,112.0,0.411765,0.0,0.0,53.796116,337.847339
25.0,municipality:510336,Conquista D'Oeste - MT,510336,MT-0012,170.0,3,facility:2752654,HOSPITAL VALE DO GUAPORE,100.0,0.588235,70.0,0.411765,0.0,0.0,137.534617,239.546548
25.0,municipality:354515,Saltinho - SP,354515,SP-0210,17.0,2,facility:2084422,SANTA CASA DE SAO PEDRO,10.0,0.588235,7.0,0.411765,0.0,0.0,38.364233,40.774841
25.0,municipality:311060,Cambuí - MG,311060,MG-0010,51.0,6,facility:2127687,SANTA CASA DE MISERICORDIA DE ITAJUBA,20.0,0.392157,21.0,0.411765,11.0,0.215686,94.1551,174.139709
25.0,municipality:292880,Santo Estêvão - BA,292880,BA-0002,1569.0,36,facility:6602533,HOSPITAL ESTADUAL DA CRIANCA,254.0,0.161887,645.0,0.41109,11.0,0.007011,74.29123,1469.562088
25.0,municipality:351400,Dobrada - SP,351400,SP-0203,73.0,4,facility:2082527,SANTA CASA DE ARARAQUARA,26.0,0.356164,30.0,0.410959,0.0,0.0,53.143431,109.249463
25.0,municipality:231210,Santana do Cariri - CE,231210,CE-0020,358.0,3,facility:2563355,HOSP MATERN SENHORA SANTANA,211.0,0.589385,147.0,0.410615,0.0,0.0,41.628164,50.769498
25.0,municipality:412740,Terra Roxa - PR,412740,PR-0020,865.0,14,facility:4056752,HOESP,448.0,0.517919,355.0,0.410405,0.0,0.0,93.735308,518.450506
25.0,municipality:170330,Bom Jesus do Tocantins - TO,170330,TO-0002,251.0,5,facility:2468271,HOSPITAL REGIONAL DE PEDRO AFONSO LEONCIO DE SOUSA MIRANDA,142.0,0.565737,103.0,0.410359,0.0,0.0,68.143232,138.028602
25.0,municipality:315710,Salto da Divisa - MG,315710,MG-0019,195.0,9,facility:2108992,HOSPITAL DERALDO GUIMARAES,70.0,0.358974,80.0,0.410256,19.0,0.097436,159.531903,594.89631
